,f1,accuracy,roc_auc,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,min_impurity_decrease
0,0.7971845106448292,0.7998204667863554,0.7998204667863553,gini,best,,2,1,,,0.0
1,0.7188193910525912,0.7203663793103449,0.7639979764293499,entropy,random,30,5,1,sqrt,balanced,0.0
2,0.7351271990788257,0.7377873563218391,0.771087053792608,gini,random,,2,2,,balanced,0.0
3,0.48335412384542287,0.4885057471264368,0.4857060486234972,log_loss,best,10,5,4,,,0.01
4,0.48335412384542287,0.4885057471264368,0.4857060486234972,gini,random,10,10,1,,,0.05
5,0.48335412384542287,0.4885057471264368,0.4857060486234972,entropy,random,20,2,2,,,0.05
6,0.6167964150672938,0.6181752873563219,0.6639743139161383,entropy,random,40,10,4,log2,balanced,0.0
7,0.48335412384542287,0.4885057471264368,0.4857060486234972,entropy,random,10,5,1,log2,,0.1
