,f1,accuracy,roc_auc,eval_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
0,0.8185619237229835,0.8195691202872532,0.8948618690148882,logloss,100,6,0.3,1.0,1.0,1,0.0,0.0,1.0
1,0.8148003282356325,0.8155531609195402,0.8952630590236491,logloss,500,15,0.1,0.5,0.9,5,0.0,0.0,5.0
2,0.7771186705555091,0.7771192528735632,0.8563044211999602,logloss,50,10,0.01,0.9,0.5,1,0.1,0.1,1.5
3,0.7071311539722476,0.7077945402298851,0.766636914346347,logloss,500,3,0.2,0.7,0.5,1,0.1,0.1,2.0
4,0.6275405612578696,0.6276939655172413,0.6761784421860549,logloss,200,3,0.2,0.5,0.5,5,0.2,1.0,2.0
5,0.8353847715210536,0.8356681034482759,0.9099714914453693,logloss,500,10,0.05,0.9,0.7,1,0.1,1.0,5.0
6,0.8173143229894697,0.8178879310344828,0.8862831739661778,logloss,100,15,0.2,1.0,0.7,7,0.0,1.0,1.0
7,0.8375765755623348,0.837823275862069,0.9099837484723874,logloss,200,10,0.1,0.7,0.7,1,0.2,0.0,5.0
