,f1,accuracy,roc_auc,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,bootstrap
0,0.9480957343718575,0.9481236203090507,0.9919423612024814,100,gini,,2,1,0.0,sqrt,True
1,0.7723297506275101,0.7724061810154526,0.8615366772412516,200,entropy,30,5,1,0.05,sqrt,True
2,0.9352382844598183,0.9353200883002207,0.9853108781778577,50,entropy,,2,2,0.0,sqrt,True
3,0.8204604996670645,0.8205298013245033,0.9091207500645684,50,gini,20,10,1,0.01,log2,False
4,0.9188310412252344,0.9189845474613687,0.9776494208343688,50,log_loss,30,2,4,0.0,,True
5,0.9261905314777367,0.9262693156732892,0.9805735615884293,200,entropy,20,10,2,0.0,sqrt,True
6,0.7736433113883654,0.7737306843267108,0.8590461432003469,50,entropy,20,5,4,0.05,log2,True
7,0.8453910097420182,0.8459161147902869,0.9077560925690392,500,entropy,10,5,1,0.0,,False
