,f1,accuracy,roc_auc,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,min_impurity_decrease
0,0.8978794724899902,0.8984547461368654,0.8984547461368653,gini,best,,2,1,,,0.0
1,0.7255557589335203,0.730242825607064,0.7302817127903745,log_loss,best,,10,2,,,0.1
2,0.8411982550613251,0.841280353200883,0.8979950197116111,log_loss,best,40,2,4,sqrt,,0.0
3,0.7299130842336613,0.7300220750551877,0.8050113786432369,gini,best,10,10,4,,,0.01
4,0.6491251499037144,0.6607064017660044,0.6551681456466334,gini,random,40,5,1,,balanced,0.05
5,0.8435876007753027,0.8437086092715231,0.906661403739602,entropy,best,10,5,1,,balanced,0.0
6,0.8691722579685794,0.8695364238410596,0.8972578200761175,entropy,random,40,5,1,log2,balanced,0.0
7,0.4529752807898504,0.5022075055187638,0.4994701986754967,entropy,best,40,5,4,log2,balanced,0.1
