,f1,accuracy,roc_auc,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,bootstrap
0,0.9436508759199752,0.9437086092715232,0.991160231763714,100,gini,,2,1,0.0,sqrt,True
1,0.8196273826629584,0.8196467991169978,0.9112982374067413,50,gini,20,2,1,0.01,log2,True
2,0.9345634999723786,0.9346578366445916,0.9869341013308384,50,log_loss,30,2,1,0.0,,True
3,0.7529437137130428,0.7529801324503311,0.8270270797089797,50,log_loss,10,10,4,0.1,,False
4,0.7783325707421139,0.7783664459161148,0.8678985814462329,200,gini,10,10,2,0.05,sqrt,True
5,0.9523071341017251,0.952317880794702,0.9900951712644182,100,entropy,,2,2,0.0,sqrt,False
6,0.7293589793320311,0.7293598233995585,0.8203076863100545,200,gini,30,10,1,0.1,,False
7,0.8909080591986918,0.8909492273730685,0.9612671958832215,200,log_loss,10,10,1,0.0,log2,True
