,f1,accuracy,roc_auc,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,bootstrap
0,0.9498746867167919,0.95,0.9922222222222222,100,gini,,2,1,0.0,sqrt,True
1,0.9594576085467744,0.9594594594594594,0.9940193571950329,200,entropy,30,5,1,0.05,sqrt,True
2,0.9831079153113049,0.9831081081081081,0.9985390796201608,50,entropy,,2,2,0.0,sqrt,True
3,0.9763489218898034,0.9763513513513513,0.9983108108108109,50,gini,20,10,1,0.01,log2,False
4,0.9797213975793558,0.9797297297297297,0.9982651570489409,50,log_loss,30,2,4,0.0,,True
5,0.9797288042733872,0.9797297297297297,0.9985390796201608,200,entropy,20,10,2,0.0,sqrt,True
6,0.9560765692239205,0.956081081081081,0.9946585098612125,50,entropy,20,5,4,0.05,log2,True
7,0.989864749186783,0.9898648648648649,0.9930149744338934,500,entropy,10,5,1,0.0,,False
8,0.8942552578507634,0.8952702702702703,0.9692293644996347,500,entropy,10,5,2,0.1,,False
