,f1,accuracy,roc_auc,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,min_impurity_decrease
0,0.9833287024173382,0.9833333333333333,0.9833333333333334,gini,best,,2,1,,,0.0
1,0.97633811824089,0.9763513513513513,0.9657825054784515,log_loss,best,,10,2,,,0.1
2,0.8849460398756174,0.8851351351351351,0.9531364134404675,log_loss,best,40,2,4,sqrt,,0.0
3,0.9526832610184973,0.9527027027027027,0.9737719138056975,gini,best,10,10,4,,,0.01
4,0.7475435501396174,0.7533783783783784,0.8295516800584369,gini,random,40,5,1,,balanced,0.05
5,0.9864840182648401,0.9864864864864865,0.9864864864864865,entropy,best,10,5,1,,balanced,0.0
6,0.8985328397093103,0.8986486486486487,0.9425447406866327,entropy,random,40,5,1,log2,balanced,0.0
7,0.7566567709522721,0.7567567567567568,0.78143261504748,entropy,best,40,5,4,log2,balanced,0.1
