,f1,accuracy,roc_auc,eval_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
0,1.0,1.0,1.0,logloss,100,6,0.3,1.0,1.0,1,0.0,0.0,1.0
1,0.97633811824089,0.9763513513513513,0.9971694667640614,logloss,50,10,0.05,0.7,0.7,1,0.0,1.0,1.0
2,0.8749985733036578,0.875,0.9453524470416362,logloss,50,6,0.05,0.5,0.7,7,0.1,1.0,2.0
3,0.9797213975793558,0.9797297297297297,0.9998630387143901,logloss,100,15,0.1,0.9,0.7,3,0.2,0.0,1.0
4,0.97633811824089,0.9763513513513513,0.9981281957633308,logloss,50,10,0.1,0.9,0.5,7,0.0,1.0,1.0
5,0.9729532163742689,0.972972972972973,0.9952520087655223,logloss,200,6,0.01,0.5,0.7,5,0.0,0.01,1.0
6,0.9831063727784308,0.9831081081081081,0.9967585829072316,logloss,200,15,0.1,0.7,0.9,5,0.1,0.1,1.0
7,0.9797213975793558,0.9797297297297297,0.99986303871439,logloss,100,6,0.2,1.0,0.9,3,0.2,0.0,1.5
